scope,document,field,precision,recall,f1,levenshtein,TP,FP,FN
document,a1_13448,eventDescription,0.75,0.375,0.5,0.453125,3,1,5
document,a1_13448,eventType,0.0,0.0,0.0,0.4166666666666667,0,4,8
document,a1_13902,quantity,0.75,0.75,0.75,0.8776041666666666,6,2,2
document,a1_13902,modifier,1.0,0.6666666666666666,0.8,0.6666666666666666,2,0,1
document,a1_13902,unit,0.5,0.5,0.5,0.6231894841269842,4,4,4
document,a1_13902,eventDescription,0.125,0.125,0.125,0.31781535532751837,1,7,7
document,a1_13902,eventType,0.0,0.0,0.0,0.8333333333333334,0,8,8
document,a1_14083,quantity,1.0,1.0,1.0,1.0,4,0,0
document,a1_14083,modifier,0.0,0.0,0.0,0.0,0,0,1
document,a1_14083,unit,1.0,1.0,1.0,1.0,4,0,0
document,a1_14083,eventDescription,0.25,0.25,0.25,0.3578901482127288,1,3,3
document,a1_14083,eventType,1.0,1.0,1.0,1.0,4,0,0
document,a1_14286,quantity,0.0,0.0,0.0,0.35533216783216776,0,6,5
document,a1_14286,modifier,1.0,1.0,1.0,1.0,5,0,0
document,a1_14286,unit,0.6666666666666666,0.8,0.7272727272727272,0.6976744186046512,4,2,1
document,a1_14286,eventDescription,0.6666666666666666,0.8,0.7272727272727272,0.6960784313725491,4,2,1
document,a1_14286,eventType,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,5,1,0
document,a1_144102,quantity,0.0,0.0,0.0,0.0,0,0,0
document,a1_144102,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_144102,unit,0.0,0.0,0.0,0.0,0,0,0
document,a1_144102,eventDescription,0.0,0.0,0.0,0.0,0,0,0
document,a1_144102,eventType,0.0,0.0,0.0,0.0,0,0,0
document,a1_147547,quantity,1.0,0.9473684210526315,0.972972972972973,0.9473684210526315,18,0,1
document,a1_147547,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_147547,unit,1.0,0.9473684210526315,0.972972972972973,0.9473684210526315,18,0,1
document,a1_147547,eventDescription,0.05555555555555555,0.05263157894736842,0.05405405405405406,0.6874242208650683,1,17,18
document,a1_147547,eventType,0.05555555555555555,0.05263157894736842,0.05405405405405406,0.7982456140350878,1,17,18
document,a1_148653,quantity,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.8421052631578947,16,2,1
document,a1_148653,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_148653,unit,0.5,0.5294117647058824,0.5142857142857143,0.6951089845826688,9,9,8
document,a1_148653,eventDescription,0.0,0.0,0.0,0.17992188621083172,0,18,17
document,a1_148653,eventType,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.8421052631578947,16,2,1
document,a1_15183,quantity,0.9,1.0,0.9473684210526316,0.9,9,1,0
document,a1_15183,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_15183,unit,0.8,0.8888888888888888,0.8421052631578948,0.8142857142857143,8,2,1
document,a1_15183,eventDescription,0.0,0.0,0.0,0.47240224538611636,0,10,9
document,a1_15183,eventType,0.8,0.8888888888888888,0.8421052631578948,0.8833333333333334,8,2,1
document,a1_152985,quantity,1.0,1.0,1.0,1.0,5,0,0
document,a1_152985,modifier,0.0,0.0,0.0,0.0,0,0,1
document,a1_152985,unit,1.0,1.0,1.0,1.0,5,0,0
document,a1_152985,eventDescription,0.2,0.2,0.20000000000000004,0.23333333333333334,1,4,4
document,a1_152985,eventType,1.0,1.0,1.0,1.0,5,0,0
document,a1_154596,quantity,1.0,1.0,1.0,1.0,29,0,0
document,a1_154596,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_154596,unit,0.034482758620689655,0.5,0.06451612903225806,0.04679802955665025,1,28,1
document,a1_154596,eventDescription,0.0,0.0,0.0,0.37164187747396144,0,29,29
document,a1_154596,eventType,1.0,1.0,1.0,1.0,29,0,0
document,a1_156755,quantity,0.875,0.8235294117647058,0.8484848484848485,0.7936507936507937,14,2,3
document,a1_156755,modifier,1.0,0.5,0.6666666666666666,0.5,1,0,1
document,a1_156755,unit,0.75,0.7058823529411765,0.7272727272727272,0.7592592592592592,12,4,5
document,a1_156755,eventDescription,0.0,0.0,0.0,0.2506172839506173,0,16,16
document,a1_156755,eventType,0.875,0.875,0.875,0.7777777777777778,14,2,2
document,a1_15716,quantity,0.5,1.0,0.6666666666666666,0.5,2,2,0
document,a1_15716,modifier,0.0,0.0,0.0,0.875,0,1,1
document,a1_15716,unit,1.0,1.0,1.0,1.0,2,0,0
document,a1_15716,eventDescription,0.0,0.0,0.0,0.17291666666666666,0,4,2
document,a1_15716,eventType,0.5,1.0,0.6666666666666666,0.5,2,2,0
document,a1_159689,quantity,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.75,6,1,1
document,a1_159689,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_159689,unit,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.66875,5,2,2
document,a1_159689,eventDescription,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2685406698564593,1,6,6
document,a1_159689,eventType,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6458333333333334,1,6,6
document,a1_159767,quantity,1.0,1.0,1.0,1.0,3,0,0
document,a1_159767,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_159767,unit,1.0,1.0,1.0,1.0,3,0,0
document,a1_159767,eventDescription,0.0,0.0,0.0,0.24581724581724582,0,3,3
document,a1_159767,eventType,0.0,0.0,0.0,0.8333333333333334,0,3,3
document,a1_159830,quantity,0.6,0.6,0.6,0.7909090909090909,3,2,2
document,a1_159830,modifier,1.0,1.0,1.0,1.0,2,0,0
document,a1_159830,unit,1.0,1.0,1.0,1.0,5,0,0
document,a1_159830,eventDescription,0.2,0.2,0.20000000000000004,0.6770574162679426,1,4,4
document,a1_159830,eventType,0.6,0.6,0.6,0.9333333333333333,3,2,2
document,a1_1599,quantity,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9285714285714286,6,1,1
document,a1_1599,modifier,1.0,1.0,1.0,1.0,1,0,0
document,a1_1599,unit,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.913265306122449,6,1,1
document,a1_1599,eventDescription,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.44128973267628735,2,5,5
document,a1_1599,eventType,0.0,0.0,0.0,0.8333333333333334,0,7,7
document,a1_160081,quantity,1.0,1.0,1.0,1.0,4,0,0
document,a1_160081,modifier,0.0,0.0,0.0,0.0,0,0,1
document,a1_160081,unit,0.75,0.75,0.75,0.8214285714285714,3,1,1
document,a1_160081,eventDescription,0.0,0.0,0.0,0.45281626760652793,0,4,4
document,a1_160081,eventType,0.25,0.25,0.25,0.875,1,3,3
document,a1_161936,quantity,0.42857142857142855,1.0,0.6,0.42857142857142855,3,4,0
document,a1_161936,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_161936,unit,0.0,0.0,0.0,0.17857142857142858,0,7,3
document,a1_161936,eventDescription,0.0,0.0,0.0,0.23194805194805193,0,7,3
document,a1_161936,eventType,0.0,0.0,0.0,0.35714285714285715,0,7,3
document,a1_164141,quantity,1.0,1.0,1.0,1.0,10,0,0
document,a1_164141,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_164141,unit,0.5,0.5,0.5,0.738968253968254,5,5,5
document,a1_164141,eventDescription,0.0,0.0,0.0,0.16101473674099037,0,10,10
document,a1_164141,eventType,1.0,1.0,1.0,1.0,10,0,0
document,a1_165074,quantity,1.0,1.0,1.0,1.0,10,0,0
document,a1_165074,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_165074,unit,1.0,1.0,1.0,1.0,10,0,0
document,a1_165074,eventDescription,0.0,0.0,0.0,0.2842393840771201,0,10,10
document,a1_165074,eventType,0.0,0.0,0.0,0.8333333333333334,0,10,10
document,a1_165177,quantity,1.0,1.0,1.0,1.0,6,0,0
document,a1_165177,modifier,0.0,0.0,0.0,0.0,0,0,1
document,a1_165177,unit,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.32597798844938436,1,5,5
document,a1_165177,eventDescription,0.0,0.0,0.0,0.43270944741532974,0,6,6
document,a1_165177,eventType,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8611111111111112,1,5,5
document,a1_16533,quantity,1.0,1.0,1.0,1.0,3,0,0
document,a1_16533,modifier,1.0,0.3333333333333333,0.5,0.3333333333333333,1,0,2
document,a1_16533,unit,1.0,1.0,1.0,1.0,3,0,0
document,a1_16533,eventDescription,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7424242424242425,2,1,1
document,a1_16533,eventType,1.0,1.0,1.0,1.0,3,0,0
document,a1_166931,quantity,0.5,0.6666666666666666,0.5714285714285715,0.5833333333333334,2,2,1
document,a1_166931,modifier,1.0,1.0,1.0,1.0,1,0,0
document,a1_166931,unit,1.0,0.3333333333333333,0.5,0.3333333333333333,1,0,2
document,a1_166931,eventDescription,0.0,0.0,0.0,0.15084325396825396,0,4,3
document,a1_166931,eventType,0.25,0.3333333333333333,0.28571428571428575,0.6666666666666667,1,3,2
document,a1_167223,quantity,0.0,0.0,0.0,0.08333333333333331,0,1,2
document,a1_167223,modifier,1.0,1.0,1.0,1.0,1,0,0
document,a1_167223,unit,1.0,0.5,0.6666666666666666,0.5,1,0,1
document,a1_167223,eventDescription,0.0,0.0,0.0,0.10638297872340424,0,1,2
document,a1_167223,eventType,1.0,0.5,0.6666666666666666,0.5,1,0,1
document,a1_167384,quantity,0.75,0.6,0.6666666666666665,0.675,3,1,2
document,a1_167384,modifier,0.5,0.5,0.5,0.9444444444444444,1,1,1
